2025-06-02 15:17:20.985 [http-nio-8081-exec-4] INFO  c.project.service.ProjektServiceImpl.(116) - REQUEST -> GET /api/projekty?page=0&size=20&sort=
2025-06-02 15:17:36.458 [http-nio-8081-exec-7] INFO  c.project.service.ProjektServiceImpl.(44) - REQUEST -> GET /api/projekty/252
2025-06-02 15:17:50.002 [http-nio-8081-exec-5] INFO  c.project.service.ProjektServiceImpl.(60) - REQUEST -> PUT /api/projekty/252
2025-06-02 15:17:50.601 [http-nio-8081-exec-3] INFO  c.project.service.ProjektServiceImpl.(116) - REQUEST -> GET /api/projekty?page=0&size=20&sort=
2025-06-02 15:22:15.691 [http-nio-8081-exec-10] INFO  c.project.service.ProjektServiceImpl.(44) - REQUEST -> GET /api/projekty/54
2025-06-02 15:22:18.624 [http-nio-8081-exec-8] INFO  c.project.service.ProjektServiceImpl.(116) - REQUEST -> GET /api/projekty?page=0&size=20&sort=
2025-06-02 15:23:06.123 [http-nio-8081-exec-7] INFO  c.project.service.ProjektServiceImpl.(44) - REQUEST -> GET /api/projekty/54
2025-06-02 15:29:18.398 [restartedMain] INFO  c.project.ProjectRestApiApplication.(53) - Starting ProjectRestApiApplication using Java 21.0.4 with PID 4144 (C:\eclipse-2024-09\workspace\project-web-app\bin\main started by Michal in C:\eclipse-2024-09\workspace\project-web-app)
2025-06-02 15:29:18.398 [restartedMain] INFO  c.project.ProjectRestApiApplication.(652) - No active profile set, falling back to 1 default profile: "default"
2025-06-02 15:29:18.917 [restartedMain] INFO  c.project.ProjectRestApiApplication.(59) - Started ProjectRestApiApplication in 0.57 seconds (process running for 506830.705)
2025-06-02 15:29:30.803 [restartedMain] INFO  c.project.ProjectRestApiApplication.(53) - Starting ProjectRestApiApplication using Java 21.0.4 with PID 4144 (C:\eclipse-2024-09\workspace\project-web-app\bin\main started by Michal in C:\eclipse-2024-09\workspace\project-web-app)
2025-06-02 15:29:30.804 [restartedMain] INFO  c.project.ProjectRestApiApplication.(652) - No active profile set, falling back to 1 default profile: "default"
2025-06-02 15:29:31.065 [restartedMain] INFO  c.project.ProjectRestApiApplication.(59) - Started ProjectRestApiApplication in 0.287 seconds (process running for 506842.853)
2025-06-02 15:29:46.038 [restartedMain] INFO  c.project.ProjectRestApiApplication.(53) - Starting ProjectRestApiApplication using Java 21.0.4 with PID 4144 (C:\eclipse-2024-09\workspace\project-web-app\bin\main started by Michal in C:\eclipse-2024-09\workspace\project-web-app)
2025-06-02 15:29:46.038 [restartedMain] INFO  c.project.ProjectRestApiApplication.(652) - No active profile set, falling back to 1 default profile: "default"
2025-06-02 15:29:46.296 [restartedMain] INFO  c.project.ProjectRestApiApplication.(59) - Started ProjectRestApiApplication in 0.279 seconds (process running for 506858.084)
2025-06-02 15:36:20.570 [restartedMain] INFO  c.project.ProjectRestApiApplication.(53) - Starting ProjectRestApiApplication using Java 21.0.4 with PID 4144 (C:\eclipse-2024-09\workspace\project-web-app\bin\main started by Michal in C:\eclipse-2024-09\workspace\project-web-app)
2025-06-02 15:36:20.570 [restartedMain] INFO  c.project.ProjectRestApiApplication.(652) - No active profile set, falling back to 1 default profile: "default"
2025-06-02 15:36:20.984 [restartedMain] INFO  c.project.ProjectRestApiApplication.(59) - Started ProjectRestApiApplication in 0.453 seconds (process running for 507252.772)
